subject,comment,contributor,Date
Aerie Peak Horde and Alliance Data,And here are the humans...,Fernanda B. Viegas,2/15/2007 0:00
Aerie Peak Horde and Alliance Data,"The ""Draenel"" and ""Blood Elf"" races seem to have fewer high-level...",Martin Wattenberg,2/15/2007 0:00
Aerie Peak Horde and Alliance Data,"Thanks, Anonymous. That explains the lower levels, but now I'm curious...",Martin Wattenberg,2/17/2007 0:00
Aerie Peak Horde and Alliance Data,I think is psychological. The Horde are essentially made up of...,Belleron,2/20/2007 0:00
時系列別売上高を業務種別に分けてみたもの,ソフトウェアプロダクトに比べて受注ソフトウェアのほうは４半期毎に山が来るのが如実に判る。,Yoi,2/13/2007 0:00
Affect of Lobbying on Votes,Are you missing a header row on this data set? Seems...,,2/5/2007 0:00
AFL Possession count VS age,That's a ripper. Good effort mate.,,10/26/2009 0:00
Africa - Mortality stats at birth,Male and female mortality rates at birth in various African countries....,tawa,3/11/2008 0:00
"After Concealed Handgun law, crime decreases",Each additional year that a concealed handgun law is in effect...,cgreen,9/6/2007 0:00
Age Distribution of Guantanamo Bay detainees,A 94 year-old detainee?,dcjohn,2/23/2007 0:00
Age Distribution of Guantanamo Bay detainees,"According to the Washington Post, apparently yes, Mohammed Sadiq is 94....",,2/23/2007 0:00
Age No Longer A Significant Factor In US AIDS Deaths,Pretty Interesting change!,,9/22/2009 0:00
Age No Longer A Significant Factor In US AIDS Deaths,But the incomplete X-axis should be marked somehow.,,9/22/2009 0:00
Age won't slow you down,These NYC marathoners weren't hindered by age. There's little correlation...,dcjohn,2/13/2007 0:00
Age won't slow you down,"Actually, I might have spoken too generally. Within this data...",dcjohn,2/13/2007 0:00
Age won't slow you down,"The apparent meaning of this data is, of course, false. ...",,2/14/2007 0:00
Age won't slow you down,"Anonymous: You know, glib-title aside, I'd have thought that the correlation...",dcjohn,2/14/2007 0:00
Age won't slow you down,"And, by the way, if you really want to be nitpicky,...",dcjohn,2/14/2007 0:00
Agenda,cayala,Presentation_agenda,8/18/2009 0:00
Air pollution in China in 2005,That's a great suggestion. You could throw in many demographics.,,5/18/2008 0:00
Airports of the world,Why is the USA not included in this data set?,,9/10/2009 0:00
alc_vs_obesity_heat_mpsimmon,Nice! How do you group visualizations in this way?,Lada Adamic,9/7/2008 0:00
Alcohol and Obesity,"very nice visual. as an MD, I can vouch its accurate...",,10/9/2007 0:00
Alcohol and Tobacco in South America,Argentina stands out.,Martin Wattenberg,4/11/2008 0:00
Alcohol Consumption Worldwide,Strange that Uganda's consumption is so high given the relatively low...,colm,7/10/2007 0:00
Alcohol Consumption Worldwide,I'm sure Ireland would have made it to the top if...,Jacket,7/10/2007 0:00
Alcohol Consumption Worldwide,Europeans drink more as a group.,Karim,7/10/2007 0:00
Alcohol Consumption Worldwide,Do you reckon people drink less near the equator due to...,Jacket,7/10/2007 0:00
Alcohol Consumption Worldwide,"Ah excellent point, should have thought of that. But that...",Jacket,7/10/2007 0:00
Alcohol Consumption Worldwide,"For the story on Ugandese alcohol consumption, check here: http://www.nationmedia.com/eastafrican/15082005/Magazine/Magazine150820052.htm ...",Frank van Ham,7/11/2007 0:00
Alcohol Consumption Worldwide,"Hey all, I'm not familiar with this dataset - what's the...",Bernie.Hogan,7/20/2007 0:00
Alcohol Consumption Worldwide,"Fernanda, To the percentage of muslims vs. the chart...",Bernie.Hogan,7/20/2007 0:00
Alcohol Consumption Worldwide,"Bernie - it's alcohol consumption per year, I've updated the dataset...",colm,7/20/2007 0:00
Alcohol Consumption Worldwide,"Hungary is European Champion! We outperform Russia, Finland and all Baltic...",,8/8/2007 0:00
Alcohol Consumption Worldwide,See also this map of legal drinking ages across the...,Martin Wattenberg,8/12/2007 0:00
Alcohol Consumption Worldwide,"Jacket, If I had to guess I would say the...",,8/14/2007 0:00
Alcohol Consumption Worldwide,Anonymous - given Ireland's alcohol consumption level I'm not convinced that...,colm,9/12/2007 0:00
Alcohol Consumption Worldwide,"Some more interesting info about Ugandan drinking here :http://allafrica.com/stories/200711301128.html. Apparently, in...",jbw,10/15/2008 0:00
Alcohol Consumption Worldwide,i thought russia was the highest.,,2/20/2009 0:00
"Alcohol-related crashes by month in Alabama, 2008",Traffic crash data is often counter-intuitive. I expected more alcohol-related crashes...,AB4EJ,11/24/2009 0:00
Alexander Wylie occurrences in Scottish Census Wigtownshire 1841-1901,I am interested in this because these Alexanders come from families...,Seven Wells,7/29/2007 0:00
Alice in Wonderland poems Wordle,its really kewl.,,12/11/2008 0:00
Alice In Wonderland Tag Visualization,A portrait of Alice.,Martin Wattenberg,3/23/2007 0:00
Alice In Wonderland Tag Visualization,"How about doing the same thing for the Poem ""Walrus and...",,6/14/2007 0:00
Alice in Wonderland text,This is one of my favorites. Thanks for posting this.,,4/18/2008 0:00
Alice's cloud,"Alice, alice, onde está o rabbit?",patfontes,11/23/2007 0:00
All Degrees are Equal -- Similar Trends for Unemployment Rate,Last number of horizontal axis is 2008.,jcchen,9/16/2009 0:00
All Ireland Senior Football Championship Winners & Runners Up,"Unfortunately Northern Ireland isn't covered by the same map, so Armagh,...",colm,11/13/2007 0:00
All Ireland Senior Football Championship Winners & Runners Up,I think most of the social/economical/political statistics available will be for...,colm,11/15/2007 0:00
All Ireland Senior Football Championship Winners & Runners Up,why is nothrn teams not included on map on your home...,,7/6/2009 0:00
All Ireland Senior Football Championship Winners & Runners Up,you forgot down aswell i dont think you know what you...,,7/6/2009 0:00
"all the words in hamlet that are orthographically related to the word ""shakespeare""",Here are all the words in Shakespeare's Hamlet that are orthographically...,richard lewis,6/30/2008 0:00
All You Need is Whoa,"Oh, that's nice.",Bilabial Fricative Jr.,9/4/2007 0:00
Allah name in Quran Alphabatic Order start,Allah is Great,Omar-eyes123,11/6/2008 0:00
All's Well That Ends Well (Word Tree),"""duke""",Martin Wattenberg,9/1/2007 0:00
All's Well That Ends Well (Word Tree),A view of Bertram's entrances (and those he enters with).,Martin Wattenberg,9/1/2007 0:00
Alphabetic visualization of word frequency in Humphry Clinker,bigrams,profsuperplum,4/18/2009 0:00
Alum Distribution,"Cool, so is this the data from the 2008 graduating class?...",,11/25/2008 0:00
Amazon: the world's largest river by a huge margin,This bar-graph plots the mean flow rates of various rivers in...,behjat,2/4/2008 0:00
"American Players/Seeds by Year, US Open","So, this visualization I think shows (in rather dramatic fashion)...",pilhofer,8/25/2007 0:00
"American Players/Seeds by Year, US Open","Hi, I'm Eric. I'm demo-ing Many Eyes in class right now....",,9/6/2007 0:00
American Women Over 18 More Likely To Live In Poverty,Why green for women? Usually pink/red.,,9/22/2009 0:00
Americans Prefer to Move Within the Same County,Reasonable headline,,9/22/2009 0:00
America's Townhall Questions to the President,Xing Y,Frank van Ham,3/27/2009 0:00
America's Townhall Questions to the President,education is suffering,,4/9/2009 0:00
Amit Petkar-salary structure,this data is very helpful because with this you can compare...,Aditya Kamble,11/16/2009 0:00
"Among Individuals' Closer Ties, Important Matters are Discussed More Frequently with the Closest Types of Ties",Its very interesting that if you organize the x axis by...,Chris356,3/13/2008 0:00
"Among Individuals' Closer Ties, Important Matters are Discussed More Frequently with the Closest Types of Ties","You raise an interesting point, however, it is important to be...",,3/21/2008 0:00
"Among Individuals' Closer Ties, Important Matters are Discussed More Frequently with the Closest Types of Ties","You raise an interesting point, however, it is important to be...",Mashriq,3/21/2008 0:00
"Among Individuals' Closer Ties, Important Matters are Discussed More Frequently with the Closest Types of Ties","You raise an interesting point, however, it is important to be...",Mashriq,3/21/2008 0:00
Amount of news at Linux.org.ru by category (per half a year since October 1998),Does anyone know what the change was between 1999 and 2000?...,Fernanda B. Viegas,6/28/2007 0:00
Amount of news at Linux.org.ru by category (per half a year since October 1998),Note this bump in «SCO» category: 2003 and 2004 were the...,Dmitry Dzhus,6/30/2007 0:00
Amount of news at Linux.org.ru by category (per half a year since October 1998),Linux people want iPhones?,Jacket,7/4/2007 0:00
Analysis of Goebbels Speech,good ，see you then,,7/26/2009 0:00
And the whitest name in America is...,"Of the top 1,000 surnames from the year 2000, the one...",Martin Wattenberg,11/17/2007 0:00
And the whitest name in America is...,"Washington, Jefferson, and Booker have the highest ""percentage black"" statistic.",Martin Wattenberg,11/17/2007 0:00
And the whitest name in America is...,Barajas has the highest hispanic percentage: 96.,Martin Wattenberg,11/17/2007 0:00
And the whitest name in America is...,These are all Germanic surnames...,Frank van Ham,11/17/2007 0:00
And the whitest name in America is...,The highlighted orange columns in the view are Asian and Hispanic....,Martin Wattenberg,11/17/2007 0:00
Anglophone Men X Women tv viewing,Zut!,Bilabial Fricative Jr.,1/23/2007 0:00
Annual ad volume by type of media,"Ad volume, newspapers and Internet.",gorski,10/31/2009 0:00
Annual Increase in Sales of Passenger cars (units) by make - Romania 2001-2006,"From the full graph it looks like it's all about Dacia,...",Lydia,2/11/2007 0:00
Annual Increase in Sales of Passenger cars (units) by make - Romania 2001-2006,"quoting an apia.ro summary: ""In 2005 the sales...",martinki,2/12/2007 0:00
Annual Wages of U.S. Secondary School Teachers - May 2006,New York is dramatically higher than the others. Why is that?...,Martin Wattenberg,9/3/2007 0:00
Annual Wages of U.S. Secondary School Teachers - May 2006,I would give the unions much of the credit. ...,grjenkin,9/4/2007 0:00
AntiVirus software Comparison Aug. 2009,what does the y axis represent?,,12/17/2009 0:00
AOL Michigan,Individual Authentic Story Multi-sensory Contrast Interaction...,,2/22/2010 0:00
"AOL Queries Containing ""vote""","What really matters to Americans, I guess.",Martin Wattenberg,10/20/2007 0:00
apa,sdcs,a l,9/6/2007 0:00
apa,4,a l,9/12/2007 0:00
apa,4,a l,9/12/2007 0:00
Apocalypse Heart,This is the second in a series of what I'm calling...,zencat,3/29/2007 0:00
Apple More Digg-able than Microsoft - Number of Diggs for Top 100 Search Results,Try switching the 'Values' from Microsoft to Apple. The change...,jhl,2/4/2008 0:00
Apple More Digg-able than Microsoft - Number of Diggs for Top 100 Search Results,I wish we could keep the x-axis from changing. It's difficult...,grjenkin,2/12/2008 0:00
Approximate Death Toll From Large-Scale Human Violence Per Year Around the 20th Century.,"Large-scale human violence includes abortions, which takes a human life at...",cgreen,8/15/2007 0:00
"April 2009 Home Sales Index, NAR",The sky is falling! The sky is falling!,,8/1/2009 0:00
Aprobabilitat vs. Temes i Rendiment 1 a 0,Pràctica Curs Visualització 5.11.2007,JORDI+,11/4/2007 0:00
AP's Tom Curley testimony on governmen transparency,"AP President and CEO Tom Curley testifies that ""reflexive secrecy"" is...",Sunshine in Government Initiative,10/6/2009 0:00
Aquisições BCO,interessante,ricardo,11/14/2008 0:00
Ara Ferrero's resume 1.2,Forgive my Italian - were did you draw the % from...,,1/4/2010 0:00
"Arbol de Palabras de ""Macho""",Eso Juanca! jaja,fnm_fabian,6/23/2009 0:00
"Arbol de Palabras de ""Macho""",Macho Owns!!!,fnm_fabian,6/23/2009 0:00
Arbre sémantique du Plan National d'Action pour l'Inclusion Sociale,"""publique""",Martin Wattenberg,9/28/2007 0:00
Arbre sémantique du Plan National d'Action pour l'Inclusion Sociale,"Hi Martin, thanks for your comment. I will invite some...",OlivierAuber,9/29/2007 0:00
Arbre sémantique du Plan National d'Action pour l'Inclusion Sociale,"Hi Martin, thanks for your comment. I will invite some...",OlivierAuber,10/2/2007 0:00
"Area in India devoted to various crops, 1950-2002",Compare these two: barley drops quite a bit while corn increases....,WarrenA,2/14/2010 0:00
Area of countries ranked by sq km,"Where are the countries ranked 2,3 and 9?",Anonymous,2/1/2007 0:00
"Area of various crops in India, 1950-2002","Barley has dropped quite a bit, while corn has increased. ...",WarrenA,2/14/2010 0:00
Area proposed for oil drilling compared to all of ANWR,All President Bush has asked is that oil exploration take place...,cgreen,10/30/2007 0:00
Army Equipment Cargo Capacity,The US Army has a number of items of equipment that...,charliedog,4/16/2007 0:00
Army size vs Army Budget,chhhhhhkkkkkkk,Ray123,3/8/2010 0:00
Arphid word tree,"""bite"" gives a satisfying tree shape.",,11/27/2009 0:00
Arphid word tree,Stupid captcha screwing things up,,11/27/2009 0:00
"ARRA Investments by County (excepting Washington, DC) US Map",Next step on this project is to map out the detailed...,Gray Economics,5/7/2009 0:00
Article citations per day grouped by journal and citation type,grouped by citation type then journal,Mike Chelen,10/21/2009 0:00
